arm,seed,run_seed,step,random/n,random/success,random/mean_steps,n_episodes,n_new,wall_time_sec
N,1008,4052838048,409600,293,0.9556313993174061,148.75085324232083,6891,6891,192.25534892082214
N,1008,4052838048,450560,293,0.9658703071672355,149.0443686006826,6891,6891,192.25534892082214
N,1008,4052838048,491520,293,0.9385665529010239,151.1740614334471,6891,6891,192.25534892082214
N,1008,4052838048,532480,293,0.9522184300341296,145.37542662116041,6891,6891,192.25534892082214
N,1008,4052838048,573440,293,0.9419795221843004,150.60409556313994,6891,6891,192.25534892082214
N,1008,4052838048,614400,293,0.9522184300341296,146.7269624573379,6891,6891,192.25534892082214
N,1008,4052838048,655360,293,0.9658703071672355,140.4778156996587,6891,6891,192.25534892082214
N,1008,4052838048,696320,293,0.9453924914675768,153.7269624573379,6891,6891,192.25534892082214
N,1008,4052838048,737280,293,0.9522184300341296,151.83617747440272,6891,6891,192.25534892082214
N,1008,4052838048,778240,293,0.9419795221843004,152.9419795221843,6891,6891,192.25534892082214
N,1008,4052838048,819200,293,0.9419795221843004,148.07508532423208,6891,6891,192.25534892082214
N,1008,4052838048,860160,293,0.9556313993174061,149.84982935153585,6891,6891,192.25534892082214
N,1008,4052838048,901120,293,0.9590443686006825,145.13993174061434,6891,6891,192.25534892082214
N,1008,4052838048,942080,293,0.9556313993174061,153.45392491467578,6891,6891,192.25534892082214
N,1008,4052838048,983040,293,0.931740614334471,154.59044368600684,6891,6891,192.25534892082214
N,1008,4052838048,1024000,293,0.9658703071672355,144.92491467576792,6891,6891,192.25534892082214
N,1008,4052838048,1064960,293,0.9488054607508533,150.24232081911262,6891,6891,192.25534892082214
N,1008,4052838048,1105920,293,0.9590443686006825,143.61774744027304,6891,6891,192.25534892082214
N,1008,4052838048,1146880,293,0.931740614334471,151.1331058020478,6891,6891,192.25534892082214
N,1008,4052838048,1187840,293,0.9453924914675768,146.09215017064847,6891,6891,192.25534892082214
N,1008,4052838048,1228800,293,0.962457337883959,144.8532423208191,6891,6891,192.25534892082214
N,1009,4058701728,0,293,0.378839590443686,390.9556313993174,7088,7088,192.29657697677612
N,1009,4058701728,40960,293,0.9488054607508533,148.22525597269623,7088,7088,192.29657697677612
N,1009,4058701728,81920,293,0.8225255972696246,190.11262798634812,7088,7088,192.29657697677612
N,1009,4058701728,122880,293,0.9249146757679181,159.35153583617748,7088,7088,192.29657697677612
N,1009,4058701728,163840,293,0.9419795221843004,155.4505119453925,7088,7088,192.29657697677612
N,1009,4058701728,204800,293,0.9112627986348123,170.79863481228668,7088,7088,192.29657697677612
N,1009,4058701728,245760,293,0.9249146757679181,161.0,7088,7088,192.29657697677612
N,1009,4058701728,286720,293,0.8532423208191127,176.7542662116041,7088,7088,192.29657697677612
N,1009,4058701728,327680,293,0.8020477815699659,193.06143344709898,7088,7088,192.29657697677612
N,1009,4058701728,368640,293,0.8464163822525598,176.53242320819112,7088,7088,192.29657697677612
N,1009,4058701728,409600,293,0.8737201365187713,171.64846416382252,7088,7088,192.29657697677612
N,1009,4058701728,450560,293,0.8737201365187713,172.3481228668942,7088,7088,192.29657697677612
N,1009,4058701728,491520,293,0.8122866894197952,190.6962457337884,7088,7088,192.29657697677612
N,1009,4058701728,532480,293,0.8873720136518771,167.92832764505118,7088,7088,192.29657697677612
N,1009,4058701728,573440,293,0.9112627986348123,158.77133105802048,7088,7088,192.29657697677612
N,1009,4058701728,614400,293,0.931740614334471,154.05460750853243,7088,7088,192.29657697677612
N,1009,4058701728,655360,293,0.9590443686006825,149.19453924914677,7088,7088,192.29657697677612
N,1009,4058701728,696320,293,0.9556313993174061,145.31058020477815,7088,7088,192.29657697677612
N,1009,4058701728,737280,293,0.9351535836177475,152.96587030716722,7088,7088,192.29657697677612
N,1009,4058701728,778240,293,0.9283276450511946,151.08532423208192,7088,7088,192.29657697677612
N,1009,4058701728,819200,293,0.9522184300341296,145.4641638225256,7088,7088,192.29657697677612
N,1009,4058701728,860160,293,0.9522184300341296,152.21501706484642,7088,7088,192.29657697677612
N,1009,4058701728,901120,293,0.9419795221843004,149.08873720136518,7088,7088,192.29657697677612
