arm,seed,step,E0/n,E0/success,E0/mean_steps,E1v/n,E1v/success,E1v/mean_steps,E2v/n,E2v/success,E2v/mean_steps,E3v/n,E3v/success,E3v/mean_steps,E4v/n,E4v/success,E4v/mean_steps,E6/n,E6/success,E6/mean_steps,E7/n,E7/success,E7/mean_steps
A,13,552960,282,0.9964539007092199,499.98936170212767,100,0.53,304.11,100,0.55,316.78,100,0.64,347.64,50,0.72,381.78,250,0.572,320.98,100,1.0,500.0
A,13,614400,282,0.9929078014184397,498.2163120567376,100,0.84,437.59,100,0.88,450.8,100,0.74,392.67,50,0.52,299.74,250,0.872,448.512,100,1.0,500.0
A,14,61440,282,0.05319148936170213,222.59929078014184,100,0.0,122.29,100,0.0,116.51,100,0.0,110.41,50,0.0,95.52,250,0.0,116.504,100,0.03,219.18
A,14,122880,282,0.031914893617021274,189.06382978723406,100,0.0,105.28,100,0.0,103.14,100,0.0,95.83,50,0.0,87.92,250,0.0,100.912,100,0.06,208.78
A,14,184320,282,0.11347517730496454,301.98581560283685,100,0.02,170.72,100,0.02,181.57,100,0.06,168.76,50,0.02,141.76,250,0.024,166.696,100,0.11,313.7
A,14,245760,282,0.14893617021276595,293.75531914893617,100,0.21,187.72,100,0.22,188.44,100,0.09,132.63,50,0.06,110.32,250,0.128,152.8,100,0.15,308.14
A,14,307200,282,0.5070921985815603,405.01418439716315,100,0.0,168.91,100,0.0,165.27,100,0.0,140.13,50,0.0,119.58,250,0.0,154.392,100,0.5,413.86
A,14,368640,282,0.07801418439716312,321.9113475177305,100,0.21,252.73,100,0.23,242.03,100,0.17,190.29,50,0.12,159.2,250,0.26,228.884,100,0.07,327.91
A,14,430080,282,0.9964539007092199,498.66312056737587,100,0.75,399.16,100,0.76,404.02,100,0.79,412.18,50,0.84,432.46,250,0.724,388.636,100,1.0,500.0
A,14,491520,282,0.975177304964539,495.0390070921986,100,0.68,372.61,100,0.65,363.04,100,0.65,355.48,50,0.44,264.2,250,0.616,349.632,100,0.99,499.75
A,14,552960,282,0.9822695035460993,496.1276595744681,100,0.5,287.44,100,0.46,272.85,100,0.54,303.44,50,0.58,321.38,250,0.496,286.856,100,1.0,500.0
A,14,614400,282,0.9822695035460993,495.2411347517731,100,0.75,399.33,100,0.78,411.42,100,0.66,361.15,50,0.4,251.58,250,0.744,396.96,100,1.0,500.0
A,15,61440,282,0.09929078014184398,281.9078014184397,100,0.0,129.66,100,0.0,126.27,100,0.0,118.83,50,0.0,105.8,250,0.0,124.616,100,0.06,257.1
A,15,122880,282,0.9964539007092199,499.6170212765957,100,0.82,426.42,100,0.85,439.93,100,0.85,438.38,50,0.9,457.88,250,0.804,422.492,100,0.99,495.02
A,15,184320,282,0.48226950354609927,424.5851063829787,100,0.0,73.31,100,0.0,86.52,100,0.0,69.78,50,0.0,82.98,250,0.0,78.728,100,0.32,418.74
A,15,245760,282,0.9964539007092199,498.5425531914894,100,0.44,266.8,100,0.56,317.69,100,0.53,300.12,50,0.48,274.06,250,0.48,281.296,100,1.0,500.0
A,15,307200,282,0.19858156028368795,323.7163120567376,100,0.0,140.26,100,0.0,132.09,100,0.0,122.28,50,0.0,103.08,250,0.0,131.092,100,0.25,313.31
A,15,368640,282,0.9893617021276596,496.2730496453901,100,0.04,85.11,100,0.12,125.57,100,0.08,100.33,50,0.38,231.4,250,0.092,108.796,100,1.0,500.0
A,15,430080,282,0.9964539007092199,498.52836879432624,100,0.49,283.72,100,0.57,319.55,100,0.53,300.08,50,0.5,283.06,250,0.496,287.828,100,1.0,500.0
A,15,491520,282,0.22695035460992907,395.2695035460993,100,0.44,295.78,100,0.42,286.37,100,0.47,296.19,50,0.42,272.46,250,0.476,304.464,100,0.2,392.79
A,15,552960,282,0.9858156028368794,494.61347517730496,100,0.01,68.35,100,0.03,76.5,100,0.0,59.53,50,0.06,82.46,250,0.004,64.764,100,1.0,500.0
A,15,614400,282,0.9893617021276596,495.322695035461,100,0.0,61.85,100,0.02,71.13,100,0.0,59.25,50,0.2,146.08,250,0.0,61.84,100,1.0,500.0
A,16,61440,282,0.08865248226950355,260.8333333333333,100,0.0,127.23,100,0.0,121.93,100,0.0,114.57,50,0.0,98.02,250,0.0,121.3,100,0.08,249.02
A,16,122880,282,0.10283687943262411,256.98581560283685,100,0.0,115.95,100,0.0,113.48,100,0.0,103.23,50,0.0,93.2,250,0.0,109.896,100,0.1,265.38
A,16,184320,282,0.01773049645390071,227.8404255319149,100,0.0,121.12,100,0.0,117.74,100,0.0,109.89,50,0.0,101.26,250,0.0,115.56,100,0.1,253.08
A,16,245760,282,0.9680851063829787,494.8156028368794,100,0.5,298.19,100,0.67,384.23,100,0.64,360.45,50,0.68,403.86,250,0.584,342.984,100,0.98,497.46
A,16,307200,282,0.6347517730496454,405.5886524822695,100,0.01,147.27,100,0.0,140.88,100,0.0,116.63,50,0.02,100.96,250,0.008,137.584,100,0.62,398.99
A,16,368640,282,0.9326241134751773,489.59574468085106,100,0.0,62.11,100,0.0,62.42,100,0.0,57.02,50,0.0,51.84,250,0.0,63.968,100,0.91,495.61
A,16,430080,282,0.9893617021276596,495.4148936170213,100,0.0,60.65,100,0.02,71.25,100,0.0,58.81,50,0.06,82.38,250,0.008,64.972,100,1.0,500.0
A,16,491520,282,0.9893617021276596,495.28723404255317,100,0.02,72.56,100,0.04,84.16,100,0.0,58.79,50,0.04,74.82,250,0.044,81.728,100,1.0,500.0
A,16,552960,282,0.9858156028368794,494.9468085106383,100,0.0,57.42,100,0.0,58.46,100,0.0,55.18,50,0.0,51.32,250,0.0,57.764,100,1.0,500.0
A,16,614400,282,0.9609929078014184,483.0070921985816,100,0.0,54.71,100,0.0,54.35,100,0.0,53.05,50,0.0,48.7,250,0.0,55.084,100,1.0,500.0
A,20,61440,282,0.4574468085106383,406.3900709219858,100,0.0,197.26,100,0.0,188.78,100,0.0,173.68,50,0.0,140.2,250,0.0,187.18,100,0.37,390.81
A,20,122880,282,0.04964539007092199,225.0035460992908,100,0.0,110.67,100,0.0,108.18,100,0.0,102.16,50,0.0,92.84,250,0.0,106.948,100,0.03,226.36
A,20,184320,282,0.9609929078014184,495.177304964539,100,0.87,446.34,100,0.89,455.29,100,0.85,437.58,50,0.84,433.28,250,0.864,444.692,100,0.99,499.44
A,20,245760,282,0.9787234042553191,492.0531914893617,100,0.0,55.61,100,0.0,56.77,100,0.0,53.97,50,0.0,50.04,250,0.0,56.272,100,1.0,500.0
A,20,307200,282,0.01773049645390071,185.1418439716312,100,0.0,113.71,100,0.0,111.83,100,0.0,102.96,50,0.0,94.12,250,0.0,108.876,100,0.02,192.56
A,20,368640,282,0.8900709219858156,486.9645390070922,100,0.15,318.48,100,0.06,310.39,100,0.02,268.32,50,0.0,208.96,250,0.064,294.464,100,0.93,495.93
A,20,430080,282,0.9893617021276596,495.2517730496454,100,0.0,56.08,100,0.0,56.21,100,0.0,54.07,50,0.0,50.02,250,0.0,56.464,100,1.0,500.0
A,20,491520,282,0.975177304964539,490.9822695035461,100,0.0,62.83,100,0.0,63.3,100,0.0,60.25,50,0.0,56.08,250,0.0,62.692,100,0.99,497.77
