arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,E1/n,E1/success,E1/mean_steps,E1b/n,E1b/success,E1b/mean_steps,E2/n,E2/success,E2/mean_steps,E3a/n,E3a/success,E3a/mean_steps,E3b/n,E3b/success,E3b/mean_steps,E4/n,E4/success,E4/mean_steps,E5/n,E5/success,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,359346417,0.0003,634880,282,0.9822695035460993,495.1985815602837,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.6521739130435,99,0.98989898989899,498.3333333333333,272,0.9705882352941176,495.25367647058823,4207,4207,276.60360503196716
N,2,359346417,0.0003,655360,282,0.950354609929078,493.27659574468083,138,0.9855072463768116,499.2826086956522,93,0.989247311827957,495.40860215053766,95,0.9789473684210527,496.6,96,1.0,500.0,92,0.967391304347826,498.4891304347826,99,0.9494949494949495,490.6868686868687,272,0.9080882352941176,488.90441176470586,4207,4207,276.60360503196716
N,2,359346417,0.0003,675840,282,0.975177304964539,495.4432624113475,138,0.9927536231884058,499.6666666666667,93,0.967741935483871,486.3333333333333,95,0.9894736842105263,498.5578947368421,96,1.0,500.0,92,0.9891304347826086,498.92391304347825,99,0.9696969696969697,491.8989898989899,272,0.9154411764705882,487.77941176470586,4207,4207,276.60360503196716
N,2,359346417,0.0003,696320,282,0.9858156028368794,497.00354609929076,138,1.0,500.0,93,0.946236559139785,477.2795698924731,95,1.0,500.0,96,1.0,500.0,92,0.9782608695652174,494.1630434782609,99,0.9696969696969697,489.09090909090907,272,0.9522058823529411,487.6764705882353,4207,4207,276.60360503196716
N,2,359346417,0.0003,716800,282,0.9893617021276596,495.36879432624113,138,1.0,500.0,93,0.9354838709677419,473.16129032258067,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.19565217391306,99,0.9797979797979798,490.74747474747477,272,0.9632352941176471,486.3970588235294,4207,4207,276.60360503196716
N,2,359346417,0.0003,737280,282,1.0,500.0,138,1.0,500.0,93,0.989247311827957,495.40860215053766,95,1.0,500.0,96,1.0,500.0,92,1.0,500.0,99,1.0,500.0,272,0.9742647058823529,492.2904411764706,4207,4207,276.60360503196716
N,2,359346417,0.0003,757760,282,0.9858156028368794,493.6666666666667,138,1.0,500.0,93,0.9139784946236559,463.6666666666667,95,0.9894736842105263,496.93684210526317,96,0.9895833333333334,495.0729166666667,92,0.9891304347826086,495.1521739130435,99,0.9797979797979798,490.6666666666667,272,0.9558823529411765,482.56985294117646,4207,4207,276.60360503196716
N,2,359346417,0.0003,778240,282,0.975177304964539,488.8581560283688,138,0.9492753623188406,477.2391304347826,93,0.8494623655913979,433.78494623655916,95,0.9578947368421052,481.8421052631579,96,0.9166666666666666,462.6875,92,0.9782608695652174,490.19565217391306,99,0.9393939393939394,472.2121212121212,272,0.9117647058823529,464.1985294117647,4207,4207,276.60360503196716
N,2,359346417,0.0003,798720,282,0.31560283687943264,444.0425531914894,138,0.2028985507246377,443.8550724637681,93,0.043010752688172046,413.13978494623655,95,0.30526315789473685,444.89473684210526,96,0.17708333333333334,437.0208333333333,92,0.358695652173913,450.64130434782606,99,0.3333333333333333,423.37373737373736,272,0.3492647058823529,441.6507352941176,4207,4207,276.60360503196716
N,2,359346417,0.0003,819200,282,0.975177304964539,489.07801418439715,138,0.9492753623188406,477.5144927536232,93,0.8279569892473119,428.3333333333333,95,0.9578947368421052,482.5052631578947,96,0.9166666666666666,462.78125,92,0.9782608695652174,490.29347826086956,99,0.9393939393939394,472.3636363636364,272,0.9117647058823529,465.6139705882353,4207,4207,276.60360503196716
