arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,3e-05,245760,282,0.2907801418439716,0.2733333333333333,339.8829787234043,138,0.21739130434782608,0.2,341.1376811594203,93,0.22580645161290322,0.21,340.19354838709677,95,0.24210526315789474,0.23,325.5052631578947,96,0.22916666666666666,0.22,341.3333333333333,92,0.31521739130434784,0.29,342.0217391304348,99,0.15151515151515152,0.15,277.8989898989899,272,0.3492647058823529,0.296875,358.0220588235294,7111,7111,85.41649889945984
N,2,3e-05,266240,282,0.12411347517730496,0.11666666666666667,280.01418439716315,138,0.07971014492753623,0.07333333333333333,274.536231884058,93,0.0967741935483871,0.09,276.8494623655914,95,0.10526315789473684,0.1,263.4947368421053,96,0.125,0.12,282.65625,92,0.15217391304347827,0.14,280.9891304347826,99,0.1414141414141414,0.14,229.87878787878788,272,0.16544117647058823,0.140625,302.0257352941176,7111,7111,85.41649889945984
N,2,3e-05,286720,282,0.14893617021276595,0.14,279.93971631205676,138,0.11594202898550725,0.10666666666666667,275.42753623188406,93,0.0967741935483871,0.09,272.6989247311828,95,0.09473684210526316,0.09,263.22105263157897,96,0.125,0.12,276.3541666666667,92,0.14130434782608695,0.13,278.4347826086956,99,0.0707070707070707,0.07,225.56565656565655,272,0.17279411764705882,0.146875,308.99264705882354,7111,7111,85.41649889945984
N,2,3e-05,307200,282,0.1276595744680851,0.12,270.43617021276594,138,0.07246376811594203,0.06666666666666667,264.94202898550725,93,0.06451612903225806,0.06,262.7741935483871,95,0.07368421052631578,0.07,251.73684210526315,96,0.10416666666666667,0.1,267.5729166666667,92,0.14130434782608695,0.13,272.5978260869565,99,0.050505050505050504,0.05,214.05050505050505,272,0.12867647058823528,0.109375,296.1617647058824,7111,7111,85.41649889945984
N,2,3e-05,327680,282,0.1524822695035461,0.14333333333333334,282.0744680851064,138,0.11594202898550725,0.10666666666666667,276.5289855072464,93,0.07526881720430108,0.07,273.1720430107527,95,0.10526315789473684,0.1,264.2526315789474,96,0.125,0.12,275.8854166666667,92,0.16304347826086957,0.15,281.04347826086956,99,0.0707070707070707,0.07,225.59595959595958,272,0.17647058823529413,0.15,311.0404411764706,7111,7111,85.41649889945984
N,2,3e-05,348160,282,0.1276595744680851,0.12,263.02836879432624,138,0.08695652173913043,0.08,255.53623188405797,93,0.07526881720430108,0.07,252.51612903225808,95,0.08421052631578947,0.08,241.8421052631579,96,0.10416666666666667,0.1,257.3125,92,0.14130434782608695,0.13,264.9891304347826,99,0.06060606060606061,0.06,207.8181818181818,272,0.14338235294117646,0.121875,288.85661764705884,7111,7111,85.41649889945984
N,2,3e-05,368640,282,0.18085106382978725,0.17,300.3829787234043,138,0.15942028985507245,0.14666666666666667,302.57971014492756,93,0.13978494623655913,0.13,298.505376344086,95,0.10526315789473684,0.1,283.8315789473684,96,0.17708333333333334,0.17,302.125,92,0.1956521739130435,0.18,301.7826086956522,99,0.08080808080808081,0.08,241.24242424242425,272,0.20220588235294118,0.171875,325.125,7111,7111,85.41649889945984
N,2,3e-05,389120,282,0.20567375886524822,0.19333333333333333,303.7517730496454,138,0.17391304347826086,0.16,308.07971014492756,93,0.15053763440860216,0.14,303.5698924731183,95,0.14736842105263157,0.14,292.0,96,0.20833333333333334,0.2,310.25,92,0.17391304347826086,0.16,297.10869565217394,99,0.0707070707070707,0.07,239.44444444444446,272,0.20220588235294118,0.171875,328.1139705882353,7111,7111,85.41649889945984
N,2,3e-05,409600,282,0.11347517730496454,0.10666666666666667,254.43971631205673,138,0.06521739130434782,0.06,243.6231884057971,93,0.06451612903225806,0.06,240.96774193548387,95,0.09473684210526316,0.09,233.7578947368421,96,0.10416666666666667,0.1,249.72916666666666,92,0.14130434782608695,0.13,254.2173913043478,99,0.030303030303030304,0.03,196.03030303030303,272,0.1213235294117647,0.103125,278.25367647058823,7111,7111,85.41649889945984
N,1,3e-05,0,282,0.0,0.0,35.02836879432624,138,0.0,0.0,33.14492753623188,93,0.0,0.0,33.89247311827957,95,0.0,0.0,33.54736842105263,96,0.0,0.0,48.864583333333336,92,0.0,0.0,39.02173913043478,99,0.0,0.0,28.67676767676768,272,0.025735294117647058,0.021875,46.77205882352941,7053,7053,85.46980381011963
