arm,seed,run_seed,step,random/n,random/success,random/mean_steps,verifai/n,verifai/success,verifai/mean_steps,n_episodes,n_new,wall_time_sec
S_mab,1,3418838027,286720,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,296960,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
S_mab,1,3418838027,307200,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,7105,7105,93.36520218849182
A,2,676060130,0,298,0.0,200.0,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,10240,298,0.016778523489932886,197.1476510067114,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,20480,298,0.2214765100671141,168.96308724832215,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,30720,298,0.31543624161073824,149.91275167785236,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,40960,298,0.40939597315436244,135.44295302013424,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,51200,298,0.5201342281879194,115.01006711409396,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,61440,298,0.610738255033557,99.25167785234899,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,71680,298,0.610738255033557,98.59731543624162,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,81920,298,0.6711409395973155,90.49664429530202,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,92160,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,102400,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,112640,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,122880,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,133120,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,143360,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,153600,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,163840,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,204800,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,215040,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
