comparison,metric,diff,ci_lo,ci_hi,p,q_bh,p_holm
A vs N,final_E5,-0.003897058823529198,-0.02895925245098037,0.022108149509804113,0.7712296819719724,0.9941395639363009,1.0
S_mab vs N,final_E2,-0.0048771929824557025,-0.041087719298245284,0.029999999999999923,0.7879662112584566,0.9941395639363009,1.0
A vs N,final_steps_E7,0.9056333333334123,-5.643477499999926,8.153613333333317,0.8025873158286296,0.9941395639363009,1.0
S_sa vs N,auc_E1b,-0.003028673835125284,-0.028847715053763354,0.021741980286738422,0.8158805380567477,0.9941395639363009,1.0
A vs N,final_E7,-0.0035999999999999366,-0.033534166666666636,0.02736750000000008,0.8235667825871207,0.9941395639363009,1.0
A vs N,final_steps_E1,0.854951690821224,-6.199104468599093,8.53806944444445,0.8241666734686016,0.9941395639363009,1.0
S_ce vs N,final_steps_E5,0.5956004901960341,-4.768115808823444,6.640391850490223,0.8383536368486674,0.9941395639363009,1.0
S_mab vs N,auc_E0,0.002663711583924422,-0.023464539007092187,0.02744151891252952,0.8386419075049744,0.9941395639363009,1.0
S_mab vs N,auc_E4,-0.002579124579124459,-0.028022432659932806,0.02158787878787877,0.8405440386709538,0.9941395639363009,1.0
A vs N,final_steps_E4,0.8338720538721418,-7.129377946127755,9.449962962962985,0.8486086911394781,0.9941395639363009,1.0
A vs N,auc_E4,-0.001941077441077299,-0.02343299663299667,0.01976435185185196,0.8641002159117103,0.9941395639363009,1.0
S_mab vs N,auc_E3b,0.0021702898550725047,-0.02367599637681163,0.0267446105072464,0.8672728066077774,0.9941395639363009,1.0
A vs N,auc_E2,0.0019315789473683953,-0.021186228070175377,0.02545938596491217,0.8739625046760376,0.9941395639363009,1.0
S_mab vs N,final_steps_E7,0.5990999999999644,-6.793914999999893,8.227373333333462,0.8759702819907529,0.9941395639363009,1.0
S_mab vs N,final_steps_E5,0.4734068627449801,-5.98482965686284,7.080776960784254,0.8864766653883535,0.9941395639363009,1.0
S_mab vs N,final_E1b,0.0021505376344087557,-0.03297670250896048,0.03555555555555535,0.9007641824242247,0.9941395639363009,1.0
A vs N,auc_E3a,0.0013854166666666945,-0.02193576388888896,0.025079904513888935,0.9100054054936877,0.9941395639363009,1.0
A vs N,final_steps_E5,0.3724019607843161,-6.072835171568573,6.924833333333383,0.9111732787773169,0.9941395639363009,1.0
S_mab vs N,auc_E7,0.0014399999999999968,-0.024397291666666737,0.025884291666666472,0.9113107616591988,0.9941395639363009,1.0
S_sa vs N,final_E6,0.0026612903225807227,-0.046089717741935474,0.04949193548387099,0.9144295410193282,0.9941395639363009,1.0
A vs N,final_E6,0.002580645161290529,-0.0472456317204301,0.05247412634408597,0.9208252517977797,0.9941395639363009,1.0
S_mab vs N,final_steps_E0,0.35619385342789656,-7.119698877068656,8.012673758865445,0.9270638424040797,0.9941395639363009,1.0
A vs N,final_steps_E0,0.3315366430261406,-6.278920212765954,7.675887706855812,0.9278683999118901,0.9941395639363009,1.0
A vs N,final_steps_E2,0.3614736842106936,-7.04801578947369,8.472947368421048,0.928657617693469,0.9941395639363009,1.0
S_mab vs N,final_E1,-0.0015458937198068456,-0.03606340579710162,0.031667270531400914,0.9292531893113881,0.9941395639363009,1.0
A vs N,final_E4,-0.001313131313131377,-0.03525420875420892,0.0329966329966328,0.9425974341756015,0.9941395639363009,1.0
S_mab vs N,final_steps_E4,0.27774410774418357,-8.473350168350084,9.302021885521826,0.9516800678830498,0.9941395639363009,1.0
A vs N,final_steps_E6,0.7165322580644613,-23.613907594086,24.992721774193445,0.9544305449709571,0.9941395639363009,1.0
S_mab vs N,final_steps_E3b,-0.21887681159410022,-7.545963768115951,7.3283079710145955,0.9544349869056881,0.9941395639363009,1.0
A vs N,final_steps_E3a,-0.24590277777775782,-9.351646701388882,8.754847222222129,0.9575260250317464,0.9941395639363009,1.0
A vs N,final_steps_E1b,0.1997849462366048,-7.888111111111118,8.788518817204373,0.9630564189823956,0.9941395639363009,1.0
A vs N,auc_E7,-0.0004883333333333129,-0.02236870833333343,0.021848458333333248,0.9662176492819674,0.9941395639363009,1.0
A vs N,auc_E3b,0.0003731884057970314,-0.021829755434782595,0.023094474637681116,0.9745844549327667,0.9941395639363009,1.0
A vs N,auc_E5,-0.0002328431372548012,-0.02089679840686281,0.020890962009803952,0.9828430740752776,0.9941395639363009,1.0
A vs N,final_steps_E3b,0.06583333333344399,-6.2827518115942125,7.18321195652176,0.9852702876776089,0.9941395639363009,1.0
S_mab vs N,final_E3a,0.0003124999999998268,-0.03500086805555537,0.03423611111111102,0.9858550675701651,0.9941395639363009,1.0
A vs N,auc_E0,-3.782505910154832e-05,-0.022291415484633658,0.022731161347517827,0.9974323912368399,0.9974323912368399,1.0
