arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,3,0.0003,184320,282,0.08156028368794327,0.07666666666666666,267.09574468085106,138,0.043478260869565216,0.04,255.84782608695653,93,0.03225806451612903,0.03,234.48387096774192,95,0.07368421052631578,0.07,254.13684210526316,96,0.0625,0.06,266.0625,92,0.10869565217391304,0.1,268.69565217391306,99,0.0707070707070707,0.07,237.86868686868686,272,0.0661764705882353,0.05625,253.71691176470588,2119,2119,83.60506916046143
N,3,0.0003,204800,282,0.5319148936170213,0.5,442.3581560283688,138,0.427536231884058,0.3933333333333333,433.8985507246377,93,0.3763440860215054,0.35,430.4731182795699,95,0.42105263157894735,0.4,429.7157894736842,96,0.4895833333333333,0.47,440.2604166666667,92,0.5108695652173914,0.47,441.10869565217394,99,0.48484848484848486,0.48,420.020202020202,272,0.3897058823529412,0.33125,435.875,2119,2119,83.60506916046143
N,3,0.0003,225280,282,0.574468085106383,0.54,449.3156028368794,138,0.8043478260869565,0.74,477.9130434782609,93,0.8709677419354839,0.81,486.6236559139785,95,0.7052631578947368,0.67,474.82105263157894,96,0.6458333333333334,0.62,464.5729166666667,92,0.6956521739130435,0.64,463.0652173913044,99,0.5757575757575758,0.57,443.65656565656565,272,0.6801470588235294,0.578125,461.62867647058823,2119,2119,83.60506916046143
N,3,0.0003,245760,282,0.9468085106382979,0.89,492.13120567375887,138,0.9927536231884058,0.9133333333333333,499.15942028985506,93,1.0,0.93,500.0,95,0.9894736842105263,0.94,498.88421052631577,96,1.0,0.96,500.0,92,0.9456521739130435,0.87,492.69565217391306,99,0.9595959595959596,0.95,493.1010101010101,272,0.9191176470588235,0.78125,481.3014705882353,2119,2119,83.60506916046143
N,3,0.0003,266240,282,0.9609929078014184,0.9033333333333333,494.1808510638298,138,0.9927536231884058,0.9133333333333333,499.19565217391306,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9565217391304348,0.88,492.6847826086956,99,0.9696969696969697,0.96,495.3030303030303,272,0.9044117647058824,0.76875,479.1764705882353,2119,2119,83.60506916046143
N,3,0.0003,286720,282,0.950354609929078,0.8933333333333333,489.74468085106383,138,0.9927536231884058,0.9133333333333333,497.10869565217394,93,0.989247311827957,0.92,495.6559139784946,95,1.0,0.95,500.0,96,0.9895833333333334,0.95,495.6666666666667,92,0.9456521739130435,0.87,487.4782608695652,99,0.898989898989899,0.89,474.47474747474746,272,0.8455882352941176,0.71875,468.2095588235294,2119,2119,83.60506916046143
N,3,0.0003,307200,282,0.9787234042553191,0.92,497.1099290780142,138,1.0,0.92,500.0,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9891304347826086,0.91,499.7282608695652,99,1.0,0.99,500.0,272,0.9632352941176471,0.81875,494.56617647058823,2119,2119,83.60506916046143
N,3,0.0003,327680,282,0.9822695035460993,0.9233333333333333,494.21276595744683,138,0.9927536231884058,0.9133333333333333,497.67391304347825,93,0.9354838709677419,0.87,472.63440860215053,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9891304347826086,0.91,495.20652173913044,99,0.9797979797979798,0.97,490.72727272727275,272,0.9595588235294118,0.815625,485.08088235294116,2119,2119,83.60506916046143
N,3,0.0003,348160,282,0.9822695035460993,0.9233333333333333,494.77659574468083,138,0.9927536231884058,0.9133333333333333,499.2028985507246,93,0.956989247311828,0.89,482.59139784946234,95,0.9894736842105263,0.94,495.34736842105264,96,0.9895833333333334,0.95,495.34375,92,0.967391304347826,0.89,488.5652173913044,99,0.9494949494949495,0.94,485.57575757575756,272,0.8933823529411765,0.759375,472.39338235294116,2119,2119,83.60506916046143
N,3,0.0003,368640,282,0.9893617021276596,0.93,496.8049645390071,138,1.0,0.92,500.0,93,0.978494623655914,0.91,490.73118279569894,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9891304347826086,0.91,495.2282608695652,99,0.9797979797979798,0.97,494.35353535353534,272,0.9669117647058824,0.821875,488.8970588235294,2119,2119,83.60506916046143
