arm,seed,final_random,auc_random,final_steps_random,auc_steps_random,final_verifai,auc_verifai,final_steps_verifai,auc_steps_verifai
B_ce,19,0.6711409395973155,0.6101789709172261,90.48657718120803,101.22912005965696,0.0,0.0,200.0,200.0
B_ce,20,0.6711409395973155,0.6452274422073081,90.48657718120803,95.02032065622667,0.0,0.0,200.0,200.0
B_ce,21,0.6711409395973155,0.6342281879194631,90.48657718120803,96.80965697240863,0.0,0.0,200.0,200.0
B_ce,22,0.6711409395973155,0.5704697986577182,90.48657718120803,107.00205070842652,0.0,0.0,200.0,200.0
B_ce,23,0.6711409395973155,0.6312453392990306,90.48657718120803,97.62994034302757,0.0,0.0,200.0,200.0
B_ce,24,0.6711409395973155,0.3497390007457122,90.48657718120803,143.29008202833705,0.0,0.0,200.0,200.0
B_ce,25,0.6711409395973155,0.5592841163310963,90.48657718120803,108.74217002237135,0.0,0.0,200.0,200.0
B_ce,26,0.6711409395973155,0.5255406413124534,90.48657718120803,115.02647278150633,0.0,0.0,200.0,200.0
B_ce,27,0.6711409395973155,0.6614466815809098,90.48657718120803,92.0233035048471,0.0,0.0,200.0,200.0
B_ce,28,0.6711409395973155,0.551826994780015,90.48657718120803,109.84992542878446,0.0,0.0,200.0,200.0
B_ce,29,0.22595078299776286,0.03803131991051454,163.17225950782998,193.80816554809843,0.0,0.0,200.0,200.0
B_ce,30,0.6711409395973155,0.6414988814317673,90.48657718120803,95.58594332587619,0.0,0.0,200.0,200.0
B_ce,31,0.6711409395973155,0.6685309470544369,90.48657718120803,90.88124533929901,0.0,0.0,200.0,200.0
B_ce,32,0.6711409395973155,0.41014168530947054,90.48657718120803,133.07513049962716,0.0,0.0,200.0,200.0
B_ce,33,0.6711409395973155,0.6441088739746458,90.48657718120803,95.22632363907529,0.0,0.0,200.0,200.0
B_ce,34,0.6711409395973155,0.6638702460850113,90.48657718120803,91.64187173750929,0.0,0.0,200.0,200.0
B_ce,35,0.6711409395973155,0.6446681580909769,90.48657718120803,94.77199850857568,0.0,0.0,200.0,200.0
B_ce,36,0.6711409395973155,0.6338553318419091,90.48657718120803,96.57065622669647,0.0,0.0,200.0,200.0
B_ce,37,0.6711409395973155,0.6554809843400449,90.48657718120803,93.08650260999252,0.0,0.0,200.0,200.0
B_ce,38,0.6711409395973155,0.6209917971662938,90.48657718120803,99.16368381804621,0.0,0.0,200.0,200.0
B_ce,39,0.6711409395973155,0.4957121551081283,90.48657718120803,119.21029082774047,0.0,0.0,200.0,200.0
B_ce,40,0.6711409395973155,0.5104399701715139,90.48657718120803,116.69127516778522,0.0,0.0,200.0,200.0
B_ce,41,0.6711409395973155,0.41014168530947054,90.48657718120803,133.07513049962716,0.0,0.0,200.0,200.0
B_ce,42,0.6711409395973155,0.5083892617449665,90.48657718120803,117.09172259507828,0.0,0.0,200.0,200.0
B_ce,43,0.6711409395973155,0.5369127516778525,90.48657718120803,112.71439224459355,0.0,0.0,200.0,200.0
B_ce,44,0.6711409395973155,0.6170768083519761,90.48657718120803,99.35924683072332,0.0,0.0,200.0,200.0
B_ce,45,0.6711409395973155,0.6448545861297541,90.48657718120803,94.72912005965696,0.0,0.0,200.0,200.0
B_ce,46,0.6711409395973155,0.6364653243847875,90.48657718120803,96.29623415361668,0.0,0.0,200.0,200.0
B_ce,47,0.6711409395973155,0.5369127516778524,90.48657718120803,112.63721103653987,0.0,0.0,200.0,200.0
B_ce,48,0.6711409395973155,0.6249067859806116,90.48657718120803,97.84843400447424,0.0,0.0,200.0,200.0
B_ce,49,0.6711409395973155,0.6457867263236391,90.48657718120803,94.74142431021623,0.0,0.0,200.0,200.0
B_ce,50,0.6711409395973155,0.6469052945563013,90.48657718120803,94.45786726323637,0.0,0.0,200.0,200.0
B_ce,51,0.6711409395973155,0.6416853094705445,90.48657718120803,95.42020879940343,0.0,0.0,200.0,200.0
B_ce,52,0.6711409395973155,0.41797166293810595,90.48657718120803,131.88012677106636,0.0,0.0,200.0,200.0
B_ce,53,0.6711409395973155,0.6260253542132738,90.48657718120803,97.90827740492168,0.0,0.0,200.0,200.0
B_ce,54,0.6711409395973155,0.482662192393736,90.48657718120803,121.35178970917224,0.0,0.0,200.0,200.0
B_ce,55,0.6711409395973155,0.4955257270693513,90.48657718120803,119.28020134228186,0.0,0.0,200.0,200.0
B_ce,56,0.6711409395973155,0.4161073825503356,90.48657718120803,132.20302013422818,0.0,0.0,200.0,200.0
B_ce,57,0.6711409395973155,0.6472781506338553,90.48657718120803,94.98825503355702,0.0,0.0,200.0,200.0
B_ce,58,0.6711409395973155,0.5741983594332588,90.48657718120803,106.5136092468307,0.0,0.0,200.0,200.0
